epoch,loss_sum
20,55.0572
40,52.5268
60,51.8726
80,51.7751
100,51.684
120,51.5177
140,51.1223
160,50.782
180,50.7184
200,50.5902
220,50.2722
240,49.9392
260,49.7564
280,49.6857
300,49.7612
320,49.82
340,49.8582
360,50.0189
380,50.2797
400,50.453
420,50.937
440,50.824
460,50.9244
480,50.7965
500,50.8778
520,50.7589
540,50.7864
560,50.6611
580,50.7181
600,50.6607
620,50.7065
640,50.7633
660,50.6194
680,50.6301
700,50.6182
720,50.6463
740,50.7339
760,50.6326
780,50.7143
800,50.6961
820,50.6814
840,50.7692
860,50.6293
880,50.7005
900,50.6498
920,50.6288
940,50.7142
960,50.5746
980,50.636
1000,50.6294
1020,50.5628
1040,50.6615
1060,50.5497
1080,50.5725
1100,50.6444
1120,50.5225
1140,50.6004
1160,50.5763
1180,50.5164
1200,50.6133
1220,50.5166
1240,50.5187
1260,50.6049
1280,50.4847
1300,50.5259
1320,50.5753
1340,50.4718
1360,50.5322
1380,50.5441
1400,50.4613
1420,50.5344
1440,50.5199
1460,50.4544
1480,50.5311
1500,50.5029
1520,50.4478
1540,50.5223
1560,50.4922
1580,50.4395
1600,50.5102
1620,50.4885
1640,50.4317
1660,50.4982
1680,50.4917
1700,50.4266
1720,50.4853
1740,50.5004
1760,50.4248
1780,50.4681
1800,50.5088
1820,50.4246
1840,50.4451
1860,50.5069
1880,50.4306
1900,50.4214
1920,50.4865
1940,50.4517
1960,50.4081
1980,50.4628
2000,50.4791
2020,50.4084
2040,50.4347
2060,50.4897
2080,50.422
2100,50.4069
2120,50.4639
2140,50.4572
2160,50.3999
2180,50.4323
2200,50.4776
2220,50.4121
2240,50.3988
2260,50.4506
2280,50.4545
2300,50.3963
2320,50.4182
2340,50.4686
2360,50.4239
2380,50.3936
2400,50.4354
2420,50.4666
2440,50.4046
2460,50.3982
2480,50.4421
2500,50.4518
2520,50.3958
2540,50.4053
2560,50.4492
2580,50.4385
2600,50.3934
2620,50.413
2640,50.4558
2660,50.4314
2680,50.3943
2700,50.4178
2720,50.4572
2740,50.4283
2760,50.3942
2780,50.4168
2800,50.4539
2820,50.4286
2840,50.3943
2860,50.4138
2880,50.4501
2900,50.4347
2920,50.3975
2940,50.4112
2960,50.4452
2980,50.4451
3000,50.4028
3020,50.4066
3040,50.436
3060,50.4541
3080,50.4092
3100,50.4006
3120,50.426
3140,50.4562
3160,50.4225
3180,50.3999
3200,50.418
3220,50.4478
3240,50.4437
3260,50.4073
3280,50.4096
3300,50.4338
3320,50.4581
3340,50.4222
3360,50.4049
3380,50.4215
3400,50.4472
3420,50.4458
3440,50.4104
3460,50.4091
3480,50.4293
3500,50.4569
3520,50.4329
3540,50.4097
3560,50.4188
3580,50.4391
3600,50.4584
3620,50.4261
3640,50.4115
3660,50.4242
3680,50.4441
3700,50.4544
3720,50.4213
3740,50.4121
3760,50.426
3780,50.4475
3800,50.4528
3820,50.4223
3840,50.4158
3860,50.4298
3880,50.4507
3900,50.4556
3920,50.426
3940,50.4183
3960,50.4297
3980,50.4472
4000,50.4572
4020,50.4286
4040,50.4181
4060,50.4276
4080,50.4423
4100,50.4602
4120,50.4369
4140,50.4218
4160,50.4282
4180,50.4401
4200,50.4619
4220,50.4487
4240,50.4268
4260,50.4259
4280,50.4351
4300,50.4527
4320,50.458
4340,50.4331
4360,50.4243
4380,50.4315
4400,50.4423
4420,50.4627
4440,50.4494
4460,50.4307
4480,50.4305
4500,50.439
4520,50.4537
4540,50.4634
4560,50.4421
4580,50.4296
4600,50.4329
4620,50.4396
4640,50.4577
4660,50.4587
4680,50.4377
4700,50.431
4720,50.437
4740,50.445
4760,50.4638
4780,50.4595
4800,50.4401
4820,50.4349
4840,50.4397
4860,50.4457
4880,50.4631
4900,50.4582
4920,50.439
4940,50.434
4960,50.4389
4980,50.4453
5000,50.4627
5020,50.4618
5040,50.4445
5060,50.4385
5080,50.4427
5100,50.4474
5120,50.4619
5140,50.4661
5160,50.449
5180,50.4387
5200,50.44
5220,50.4436
5240,50.4535
5260,50.4663
5280,50.4559
5300,50.4428
5320,50.4418
5340,50.4465
5360,50.4521
5380,50.467
5400,50.4667
5420,50.451
5440,50.4432
5460,50.4445
