epoch,loss_sum
20,50.0419
40,49.1311
60,48.7721
80,48.6006
100,48.4919
120,48.4054
140,48.3285
160,48.2551
180,48.1796
200,48.0956
220,47.9958
240,47.8725
260,47.7186
280,47.5297
300,47.3068
320,47.0575
340,46.7959
360,46.5386
380,46.3001
400,46.0892
420,45.9082
440,45.7547
460,45.6234
480,45.5082
500,45.4032
520,45.3022
540,45.1991
560,45.0883
580,44.9647
600,44.8254
620,44.6711
640,44.506
660,44.3357
680,44.1648
700,43.9964
720,43.8326
740,43.6767
760,43.5328
780,43.4051
800,43.2964
820,43.2073
840,43.1364
860,43.0812
880,43.0388
900,43.0067
920,42.9826
940,42.9649
960,42.9524
980,42.9442
1000,42.9396
1020,42.9381
1040,42.9393
1060,42.9429
1080,42.9487
1100,42.9564
1120,42.9658
1140,42.9767
1160,42.989
1180,43.0026
1200,43.0172
1220,43.0327
1240,43.0491
1260,43.0661
1280,43.0838
1300,43.1019
1320,43.1203
1340,43.1391
1360,43.158
1380,43.177
1400,43.1961
1420,43.2151
1440,43.234
1460,43.2527
1480,43.2713
1500,43.2896
1520,43.3076
1540,43.3252
1560,43.3425
1580,43.3594
1600,43.3759
1620,43.3919
1640,43.4074
1660,43.4224
1680,43.437
1700,43.451
1720,43.4644
1740,43.4773
1760,43.4896
1780,43.5013
1800,43.5125
1820,43.523
1840,43.5328
1860,43.5421
1880,43.5508
1900,43.5588
1920,43.5662
1940,43.5729
1960,43.5791
1980,43.5846
2000,43.5896
2020,43.5939
2040,43.5978
2060,43.601
2080,43.6037
2100,43.6059
2120,43.6076
2140,43.6088
2160,43.6094
2180,43.6096
2200,43.6093
2220,43.6085
2240,43.6073
2260,43.6057
2280,43.6037
2300,43.6013
2320,43.5986
2340,43.5957
2360,43.5926
2380,43.5894
2400,43.5862
2420,43.583
2440,43.58
2460,43.5771
2480,43.5744
2500,43.5721
2520,43.5699
2540,43.5681
2560,43.5665
2580,43.5652
2600,43.5639
2620,43.5628
2640,43.5617
2660,43.5605
2680,43.5592
2700,43.5577
2720,43.5559
2740,43.5539
2760,43.5515
2780,43.5489
2800,43.5459
2820,43.5425
2840,43.5388
2860,43.5346
2880,43.53
2900,43.5249
2920,43.5193
2940,43.5131
2960,43.5062
2980,43.4985
3000,43.49
3020,43.4807
3040,43.4705
3060,43.4594
3080,43.4474
3100,43.4347
3120,43.4215
3140,43.4081
3160,43.3946
3180,43.3813
3200,43.3685
3220,43.3565
3240,43.3454
3260,43.3353
3280,43.3262
3300,43.3182
3320,43.311
3340,43.3045
3360,43.298
3380,43.2907
3400,43.2814
3420,43.2681
3440,43.2488
3460,43.2207
3480,43.1814
3500,43.1293
3520,43.0648
3540,42.9896
3560,42.9073
3580,42.8219
3600,42.7365
3620,42.6529
3640,42.572
3660,42.4946
3680,42.4211
3700,42.3517
3720,42.2866
3740,42.2259
3760,42.1693
3780,42.1169
3800,42.0681
3820,42.0229
3840,41.9807
3860,41.9412
3880,41.9042
3900,41.8694
3920,41.8364
3940,41.8053
3960,41.7759
3980,41.7481
4000,41.7218
4020,41.6972
4040,41.6742
4060,41.653
4080,41.6337
4100,41.6161
4120,41.6006
4140,41.5871
4160,41.5757
4180,41.5662
4200,41.5588
4220,41.5533
4240,41.5495
4260,41.5475
4280,41.5469
4300,41.5476
4320,41.5494
4340,41.5521
4360,41.5555
4380,41.5593
4400,41.5635
4420,41.5678
4440,41.572
4460,41.576
4480,41.5796
4500,41.5828
4520,41.5854
4540,41.5873
4560,41.5884
4580,41.5886
4600,41.5879
4620,41.586
4640,41.5831
4660,41.5791
4680,41.5739
4700,41.5675
4720,41.5597
4740,41.5506
4760,41.5401
4780,41.5281
4800,41.5147
4820,41.4995
4840,41.4827
4860,41.4643
4880,41.4439
4900,41.4217
4920,41.3974
4940,41.3711
4960,41.3426
4980,41.3117
5000,41.2783
5020,41.2424
5040,41.2042
5060,41.1636
5080,41.1213
5100,41.0779
5120,41.0345
5140,40.9928
5160,40.9546
5180,40.9221
5200,40.8975
5220,40.8823
5240,40.8772
5260,40.8816
5280,40.8942
5300,40.9123
5320,40.9331
5340,40.9542
5360,40.9734
5380,40.9889
5400,40.9983
5420,40.9999
5440,40.993
5460,40.9776
5480,40.955
5500,40.9265
5520,40.894
5540,40.8596
5560,40.8247
5580,40.7911
5600,40.7598
5620,40.7316
5640,40.7071
5660,40.6865
5680,40.6699
5700,40.6572
5720,40.6482
5740,40.6426
5760,40.6403
5780,40.6406
5800,40.6433
5820,40.6479
5840,40.6541
5860,40.6613
5880,40.6692
5900,40.6773
5920,40.6851
5940,40.6924
5960,40.6989
5980,40.7043
6000,40.7086
6020,40.7117
6040,40.7136
6060,40.7144
6080,40.7141
6100,40.7129
6120,40.711
6140,40.7084
6160,40.7052
6180,40.7015
6200,40.6971
6220,40.6923
6240,40.6868
6260,40.6809
6280,40.6746
6300,40.668
6320,40.6618
6340,40.6566
6360,40.6535
6380,40.654
6400,40.6599
6420,40.6735
6440,40.6966
6460,40.7307
6480,40.7758
6500,40.8297
6520,40.8882
6540,40.9469
6560,41.0037
6580,41.0599
6600,41.1187
6620,41.1806
6640,41.2425
6660,41.2991
6680,41.3465
6700,41.384
6720,41.4135
6740,41.4367
6760,41.4557
6780,41.4723
6800,41.4884
6820,41.5046
6840,41.5206
6860,41.5355
6880,41.5482
6900,41.5581
6920,41.5644
6940,41.5668
6960,41.565
6980,41.5586
7000,41.5471
7020,41.5297
7040,41.5056
7060,41.4739
7080,41.434
7100,41.3862
7120,41.3315
7140,41.272
7160,41.2107
7180,41.1504
7200,41.0937
7220,41.0428
7240,40.9987
7260,40.9615
7280,40.9308
7300,40.9055
7320,40.8844
7340,40.866
7360,40.8486
7380,40.8301
7400,40.8072
7420,40.7755
7440,40.7297
7460,40.6647
7480,40.581
7500,40.4893
7520,40.4038
7540,40.3356
7560,40.29
7580,40.2667
7600,40.2611
7620,40.2664
7640,40.2769
7660,40.2892
7680,40.3015
7700,40.3138
7720,40.3259
7740,40.3379
7760,40.3499
7780,40.3618
7800,40.3737
7820,40.3857
7840,40.3977
7860,40.41
7880,40.4237
7900,40.4412
7920,40.4647
7940,40.4962
7960,40.5365
7980,40.5852
8000,40.6427
8020,40.7117
8040,40.7966
8060,40.9017
8080,41.0264
8100,41.1655
8120,41.3134
8140,41.4669
8160,41.6249
8180,41.7884
8200,41.9583
8220,42.135
8240,42.3169
8260,42.499
8280,42.671
8300,42.8208
8320,42.9388
8340,43.0161
8360,43.0389
8380,42.9873
8400,42.8411
8420,42.5971
8440,42.2867
8460,41.9641
8480,41.6441
8500,41.2643
8520,40.9327
8540,40.7002
8560,40.5298
8580,40.3876
8600,40.2516
8620,40.1118
8640,39.9669
8660,39.8206
8680,39.6775
8700,39.5405
8720,39.4098
8740,39.2821
8760,39.1509
8780,39.0107
8800,38.8689
8820,38.7446
8840,38.648
8860,38.5777
8880,38.5278
8900,38.4932
8920,38.47
8940,38.4553
8960,38.4471
8980,38.4439
9000,38.4448
9020,38.4488
9040,38.4556
9060,38.4644
9080,38.4747
9100,38.4856
9120,38.4966
9140,38.5071
9160,38.5162
9180,38.5228
9200,38.5249
9220,38.519
9240,38.5006
9260,38.4649
9280,38.4084
9300,38.3304
9320,38.2332
9340,38.1217
9360,38.0031
9380,37.8844
9400,37.7713
9420,37.6686
9440,37.5797
9460,37.5068
9480,37.4516
9500,37.4141
9520,37.393
9540,37.3852
9560,37.387
9580,37.3947
9600,37.405
9620,37.4153
9640,37.4239
9660,37.4293
9680,37.4308
9700,37.428
9720,37.4209
9740,37.4102
9760,37.396
9780,37.3788
9800,37.3595
9820,37.3381
9840,37.3154
9860,37.2911
9880,37.2657
9900,37.2389
9920,37.211
9940,37.1814
9960,37.1504
9980,37.1173
10000,37.0821
10020,37.0437
10040,37.0013
10060,36.9547
10080,36.9047
10100,36.854
10120,36.8067
10140,36.7667
10160,36.736
10180,36.7146
10200,36.7017
10220,36.6958
10240,36.6958
10260,36.7005
10280,36.7084
10300,36.7187
10320,36.7299
10340,36.7412
10360,36.7521
10380,36.7617
10400,36.7698
10420,36.7757
10440,36.7791
10460,36.7794
10480,36.7767
10500,36.7717
10520,36.7654
10540,36.7592
10560,36.7549
10580,36.7539
10600,36.7571
10620,36.7652
10640,36.7783
10660,36.7965
10680,36.8193
10700,36.8463
10720,36.8772
10740,36.9114
10760,36.9481
10780,36.987
10800,37.0268
10820,37.0675
10840,37.108
10860,37.1478
10880,37.1873
10900,37.2271
10920,37.2681
10940,37.3119
10960,37.3597
10980,37.413
11000,37.4727
11020,37.5395
11040,37.613
11060,37.6924
11080,37.7766
11100,37.8639
11120,37.9529
11140,38.0435
11160,38.1365
11180,38.2344
11200,38.3418
11220,38.4656
11240,38.6147
11260,38.7975
11280,39.0186
11300,39.2787
11320,39.5863
11340,39.9714
11360,40.4639
11380,40.9928
11400,41.432
11420,41.7403
11440,41.9518
11460,42.1097
11480,42.2531
11500,42.4422
11520,42.7798
11540,43.4295
11560,44.6747
11580,47.0243
11600,51.5396
11620,56.5608
11640,60.7278
